"key","rule","severity","type","status","resolution","message","component","line","creationDate"
"AZ0Y-Tdm4T-oZG714isD","typescript:S7773","MINOR","CODE_SMELL","RESOLVED","FIXED","Prefer `Number.parseInt` over `parseInt`.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","734","2026-03-18T01:41:18+0000"
"AZ0Y-Tdm4T-oZG714isH","typescript:S7766","MINOR","CODE_SMELL","REOPENED",,"Prefer `Math.max()` to simplify ternary expressions.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","932","2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ips","typescript:S1128","MINOR","CODE_SMELL","CLOSED","FIXED","Remove this unused import of 'useCallback'.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ipz","typescript:S7773","MINOR","CODE_SMELL","CLOSED","FIXED","Prefer `Number.parseFloat` over `parseFloat`.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ipv","typescript:S7773","MINOR","CODE_SMELL","CLOSED","FIXED","Prefer `Number.parseFloat` over `parseFloat`.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ipw","typescript:S7773","MINOR","CODE_SMELL","CLOSED","FIXED","Prefer `Number.parseFloat` over `parseFloat`.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ipx","typescript:S7773","MINOR","CODE_SMELL","CLOSED","FIXED","Prefer `Number.parseFloat` over `parseFloat`.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ipy","typescript:S7773","MINOR","CODE_SMELL","CLOSED","FIXED","Prefer `Number.parseFloat` over `parseFloat`.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip0","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip1","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip2","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip3","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip4","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip5","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip6","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip7","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714ip8","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714iqJ","typescript:S1874","MINOR","CODE_SMELL","CLOSED","FIXED","The signature '(...text: string[]): void' of 'win.document.write' is deprecated.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714iqK","typescript:S3358","MAJOR","CODE_SMELL","CLOSED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714iqP","typescript:S1854","MAJOR","CODE_SMELL","CLOSED","FIXED","Remove this useless assignment to variable ""inlineRowEmpId"".","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:41:18+0000"
"AZ0Y-TcB4T-oZG714iqL","typescript:S2681","MAJOR","CODE_SMELL","CLOSED","FIXED","This statement will not be executed conditionally; only the first statement will be. The rest will execute unconditionally.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:34:02+0000"
"AZ0Y-TcB4T-oZG714iqM","typescript:S6848","MAJOR","CODE_SMELL","CLOSED","FIXED","Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:34:02+0000"
"AZ0Y-TcB4T-oZG714iqN","typescript:S1082","MINOR","BUG","CLOSED","FIXED","Visible, non-interactive elements with click handlers must have at least one keyboard listener.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:34:02+0000"
"AZ0Y-Tdm4T-oZG714irz","typescript:S7773","MINOR","CODE_SMELL","RESOLVED","FIXED","Prefer `Number.parseInt` over `parseInt`.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","83","2026-03-18T01:22:03+0000"
"AZ0Y-Tdm4T-oZG714ir2","typescript:S2004","CRITICAL","CODE_SMELL","RESOLVED","WONTFIX","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","306","2026-03-18T01:22:03+0000"
"AZ0Y-Tdm4T-oZG714ir3","typescript:S2004","CRITICAL","CODE_SMELL","RESOLVED","WONTFIX","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","308","2026-03-18T01:22:03+0000"
"AZ0Y-Tdm4T-oZG714ir4","typescript:S7756","MINOR","CODE_SMELL","REOPENED",,"Prefer `Blob#arrayBuffer()` over `FileReader#readAsArrayBuffer(blob)`.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","324","2026-03-18T01:22:03+0000"
"AZ0Y-Tdm4T-oZG714ir7","typescript:S7773","MINOR","CODE_SMELL","RESOLVED","FIXED","Prefer `Number.parseInt` over `parseInt`.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","358","2026-03-18T01:22:03+0000"
"AZ0Y-Tdm4T-oZG714ir8","typescript:S7773","MINOR","CODE_SMELL","RESOLVED","FIXED","Prefer `Number.isNaN` over `isNaN`.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","359","2026-03-18T01:22:03+0000"
"AZ0Y-Tdm4T-oZG714isE","typescript:S7773","MINOR","CODE_SMELL","RESOLVED","FIXED","Prefer `Number.parseInt` over `parseInt`.","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","826","2026-03-18T01:22:03+0000"
"AZ0Y-Tdm4T-oZG714isG","typescript:S6479","MAJOR","CODE_SMELL","RESOLVED","FIXED","Do not use Array index in keys","salahmostava-sys_muhimmat:frontend/src/pages/Orders.tsx","908","2026-03-18T01:22:03+0000"
"AZ0fUuFkM7VHBcxZE1P-","typescript:S2004","CRITICAL","CODE_SMELL","RESOLVED","WONTFIX","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","2136","2026-03-18T01:17:19+0000"
"AZ0fUuFkM7VHBcxZE1P_","typescript:S2004","CRITICAL","CODE_SMELL","RESOLVED","WONTFIX","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","2144","2026-03-18T01:17:19+0000"
"AZ0fUuFkM7VHBcxZE1QA","typescript:S2004","CRITICAL","CODE_SMELL","RESOLVED","WONTFIX","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","2145","2026-03-18T01:17:19+0000"
"AZ0fUuFkM7VHBcxZE1QC","typescript:S2004","CRITICAL","CODE_SMELL","RESOLVED","WONTFIX","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","2186","2026-03-18T01:17:19+0000"
"AZ0Y-Tbx4T-oZG714ipk","typescript:S2004","CRITICAL","CODE_SMELL","CLOSED","FIXED","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:17:19+0000"
"AZ0Y-Tbx4T-oZG714ipl","typescript:S2004","CRITICAL","CODE_SMELL","CLOSED","FIXED","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:17:19+0000"
"AZ0Y-Tbx4T-oZG714ipm","typescript:S2004","CRITICAL","CODE_SMELL","CLOSED","FIXED","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:17:19+0000"
"AZ0Y-Tbx4T-oZG714ipo","typescript:S2004","CRITICAL","CODE_SMELL","CLOSED","FIXED","Refactor this code to not nest functions more than 4 levels deep.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:17:19+0000"
"AZ0Y-TcB4T-oZG714iqU","typescript:S4325","MINOR","CODE_SMELL","CLOSED","FIXED","This assertion is unnecessary since it does not change the type of the expression.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:16:14+0000"
"AZ0Y-TcB4T-oZG714iqX","typescript:S6478","MAJOR","CODE_SMELL","CLOSED","FIXED","Move this component definition out of the parent component and pass data as props.","salahmostava-sys_muhimmat:src/pages/Advances.tsx",,"2026-03-18T01:16:14+0000"
"AZ0fUuFkM7VHBcxZE1QD","typescript:S3358","MAJOR","CODE_SMELL","RESOLVED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","2211","2026-03-18T01:10:46+0000"
"AZ0fUuFkM7VHBcxZE1QE","typescript:S3358","MAJOR","CODE_SMELL","RESOLVED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","2228","2026-03-18T01:10:46+0000"
"AZ0fUuFkM7VHBcxZE1QF","typescript:S3358","MAJOR","CODE_SMELL","RESOLVED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","2234","2026-03-18T01:10:46+0000"
"AZ0Y-Tbx4T-oZG714ipp","typescript:S3358","MAJOR","CODE_SMELL","CLOSED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:10:46+0000"
"AZ0Y-Tbx4T-oZG714ipq","typescript:S3358","MAJOR","CODE_SMELL","CLOSED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:10:46+0000"
"AZ0Y-Tbx4T-oZG714ipr","typescript:S3358","MAJOR","CODE_SMELL","CLOSED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:10:46+0000"
"AZ0fUuFkM7VHBcxZE1PU","typescript:S1854","MAJOR","CODE_SMELL","RESOLVED","FIXED","Remove this useless assignment to variable ""setCityFilter"".","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","886","2026-03-18T01:10:17+0000"
"AZ0Y-Tbx4T-oZG714io6","typescript:S1854","MAJOR","CODE_SMELL","CLOSED","FIXED","Remove this useless assignment to variable ""setCityFilter"".","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T01:10:17+0000"
"AZ0Y-TWD4T-oZG714im7","typescript:S1128","MINOR","CODE_SMELL","CLOSED","FIXED","Remove this unused import of 'Label'.","salahmostava-sys_muhimmat:src/pages/EmployeeTiers.tsx",,"2026-03-18T01:01:39+0000"
"AZ0Y-TWD4T-oZG714im9","typescript:S6478","MAJOR","CODE_SMELL","CLOSED","FIXED","Move this component definition out of the parent component and pass data as props.","salahmostava-sys_muhimmat:src/pages/EmployeeTiers.tsx",,"2026-03-18T01:01:39+0000"
"AZ0fUuFkM7VHBcxZE1PB","typescript:S1128","MINOR","CODE_SMELL","OPEN",,"Remove this unused import of 'AppColorData'.","salahmostava-sys_muhimmat:frontend/src/pages/Salaries.tsx","12","2026-03-18T00:37:13+0000"
"AZ0Y-Tbx4T-oZG714iok","typescript:S1128","MINOR","CODE_SMELL","CLOSED","FIXED","Remove this unused import of 'AppColorData'.","salahmostava-sys_muhimmat:src/pages/Salaries.tsx",,"2026-03-18T00:37:13+0000"
